,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE,"LAKE GRANBURY,POSSUM KINGDOM LAKE,LAKE WHITNEY","LAKE GEORGETOWN,STILLHOUSE HOLLOW LAKE"
1981-01-12,4.07397211,3.22172182,3.703734137,3.845567857,2.506850677,1.015565622,4.739016729,5.30852178,4.092783046,4.465631047,7.230203237,1.696197017,2.697636984,3.782078098,1.2873341625409305,4.508861545692994
1981-01-13,3.692367864,2.737076749,2.695176186,3.354101394,3.853727588,4.675255742,3.617683054,3.896205192,3.150058988,3.767033613,4.730832832,3.095222952,1.417450462,2.253803165,4.319333250724159,3.7434167977432025
1981-01-14,7.495892828,7.685951958,8.015791861,7.697397109,7.151449247,7.094867587,6.665100908,7.170813314,7.866089663,7.22891697,7.534568777,7.806497058,6.828588409,7.027704349,7.23082507543947,7.139760693222562
1981-01-15,7.127430621,6.740719355,7.093546675,7.074082669,5.781316705,5.534276568,7.361903853,7.843652876,7.667066147,7.034624305,8.525833863,5.862427345,7.080785823,7.352537181,5.67763811960952,7.086377044823653
1981-01-16,6.512330555,5.766256694,6.101564236,6.223750619,4.919789841,5.110752101,6.984628349,7.348697123,6.67972516,6.660354582,8.116608683,5.098131045,6.030963494,6.477981744,5.165868578297368,6.711632017445452
1981-01-17,3.879605257,2.832548097,3.326072274,3.1766407,2.64590538,-0.034104603,4.46811296,4.73395249,4.154011801,4.377692267,5.840355066,1.887514119,3.959640263,4.243150694,0.4427714474396345,4.391990498063016
1981-01-18,1.645867014,1.330236999,1.831283764,1.558840431,0.228192153,-0.786128257,2.024372088,2.074708219,2.222522504,1.662984176,3.388694915,0.494785902,2.111740832,2.493671617,-0.45050000215721886,1.7201304740178316
1981-01-19,2.32116251,2.956599823,3.685053342,2.921974379,1.02644447,0.336962654,2.355381836,2.889891133,4.814692437,2.363181657,4.556982508,2.294908944,4.996761239,5.460405037,0.7968356110062063,2.3619482707118835
1981-01-20,2.200332902,2.709741991,2.961119619,2.611521698,1.335530426,2.043607953,1.959674053,1.973451602,3.544721466,2.175960962,2.853432907,2.572050673,3.34824958,3.181042193,2.1641933847862544,2.1417594966253923
1981-01-21,6.900416173,6.297931931,5.795888976,6.734689931,6.864553676,6.33244173,6.479521801,6.801627524,4.870166504,6.857145611,6.677103709,6.600905122,3.839654683,4.047523485,6.36148940294549,6.797431929196251
1981-01-22,4.87357853,4.068606474,4.560504935,4.539679975,4.386430129,3.559369278,5.570735054,5.753381227,4.688017788,5.163344488,6.502249424,3.280308353,5.212509559,5.207464221,3.570064036946522,5.22776518919459
1981-01-23,7.272077294,6.850219108,6.551810295,7.383070421,7.187480156,6.98885636,6.750828636,6.940955373,6.364245209,6.988789157,7.450879251,7.106672919,3.370364197,4.256315919,6.9909368566837875,6.951160441710971
1981-01-24,10.62675196,10.04277703,9.939175797,10.5074959,10.61173955,10.44862051,9.559386689,9.978050691,9.854162534,9.920590785,10.57223228,10.18543421,8.446115798,8.861968584,10.382164880038168,9.863473553820231
1981-01-25,13.36953737,13.15280857,13.22943303,13.3533631,14.13905671,14.1688372,13.29927207,13.69200991,13.29081187,13.19607299,14.00411897,13.59549692,12.10428994,12.39078304,14.012671584590572,13.212391868371462
1981-01-26,14.40210916,12.86107908,13.59638747,13.69547266,13.21987927,10.81983625,15.98722591,16.07341909,13.88814376,15.07371698,15.78488531,11.61494941,13.95608135,14.09739287,11.091017714788217,15.218170216597827
1981-01-27,13.80091779,11.79848808,12.70019196,13.01956465,11.16151305,6.664694131,14.82548005,14.86418593,13.50784022,14.46617007,15.74363343,9.312603353,14.15162757,13.87258833,7.424053875018302,14.522987784472589
1981-01-28,10.80320627,9.805825425,10.07435575,10.4244347,9.682174703,7.582142245,10.75811833,11.12902061,11.42482499,10.61785038,12.59057251,8.626852131,9.756817652,10.36332856,7.89886058726683,10.64003096160465
1981-01-29,13.21363862,12.01354094,12.08015851,12.37676153,13.37980459,12.50067898,13.70096142,13.51980434,12.87817561,13.49809066,12.54907075,12.10108535,11.67477178,12.03581952,12.41092729170082,13.530170628712579
1981-01-30,12.09184417,11.63993476,11.83562636,11.86465239,11.56899155,9.650967926,13.03637449,13.27482755,12.53067547,12.5885556,14.54347393,11.47363736,14.773096,14.7185974,10.040224844030954,12.659369235144371
1981-01-31,4.633810234,3.488064813,4.024226538,4.328698448,3.166705973,1.295927676,5.999103037,6.292528314,5.134117568,5.31225751,9.458546516,2.667440927,6.877686707,7.069937028,1.6489098605986237,5.420868445437588
1981-02-01,6.986118144,6.318524439,6.845464013,6.55654723,5.646708208,4.590716923,8.165378329,8.843007295,7.050081154,7.554884326,11.60454427,5.149832765,8.810303686,8.862209061,4.806668676604105,7.6514217891388805
1981-02-02,2.708967374,1.739946016,2.227055381,2.015438176,1.294821135,0.164117055,3.665253216,4.008421006,2.912028996,3.090957375,5.085988502,0.874978571,3.711641494,3.798116306,0.38504475035149277,3.1817708200279764
1981-02-03,1.564253335,0.88991564,0.913133984,1.171851328,0.847931267,0.283173506,1.443796232,1.851813344,1.072500864,1.514243057,2.245870153,0.595195268,-0.297681813,0.27820587,0.3728089180417538,1.5031032952033738
1981-02-04,5.828451128,5.418194099,5.178315234,5.587160587,6.018198229,6.29040172,4.7851327,5.230989329,5.221173206,5.5387728,6.160996826,5.768786687,4.018546705,4.739536361,6.15283030490806,5.419599633652398
1981-02-05,4.608988715,4.090425367,4.689583419,4.539566934,2.915389921,1.250064115,5.801966191,6.33013078,5.583737895,5.143500856,7.435816212,2.762805188,5.560849799,6.173488146,1.6758885976727296,5.247624029517551
1981-02-06,4.19759694,3.882036671,4.200603121,3.962422316,3.466991364,2.671677594,4.565048857,4.829938372,4.21690474,4.527032746,5.748682316,3.435428996,2.708614596,3.449121783,2.86734610040827,4.533044236524577
1981-02-07,6.126315742,5.839680276,5.896304518,5.715181487,6.162426267,5.551417893,6.364979231,6.460034769,5.904014815,6.309430648,6.789943516,6.153024872,6.146054475,6.028386312,5.648091679148211,6.318214549655754
1981-02-08,10.56199307,9.203253947,10.02715362,9.767712395,8.359261364,6.495231287,12.60148833,13.02441745,10.87173663,11.58005588,13.02417148,7.654348682,9.353568281,9.887871678,6.8674358845002805,11.741575071025913
1981-02-09,6.592441908,6.583570176,6.454993739,6.665982085,6.991055727,8.187503242,6.588613472,6.59616618,7.585180291,6.473454846,8.792424494,6.774898611,8.418882385,8.574988394,7.880427535178356,6.491664888290291
1981-02-10,11.69951474,10.95743897,11.43923372,11.48080205,10.1507992,7.575615939,12.14323955,12.71091632,11.96434673,12.12390898,13.86152613,9.205298736,10.81441014,11.67318213,8.0621632178988,12.126965724504709
1981-02-11,3.094970077,1.392697443,2.567130628,2.473811088,-0.107105034,-4.275773625,4.950039701,5.433181618,3.860097855,4.160235084,6.964652337,-1.705129792,5.200645254,5.114190073,-3.4794467238718005,4.285126948172096
1981-02-12,-5.017530037,-5.194611143,-5.232279198,-4.758360092,-5.445365826,-5.30153456,-4.45937437,-4.078671643,-5.207167166,-4.658276259,-3.394804604,-5.67032392,-4.682643755,-4.624258036,-5.336296411242568,-4.62682388816059
1981-02-13,1.754895397,1.218825281,1.147086375,1.740990487,2.318614169,3.13480956,1.994101469,2.340800634,1.206440924,1.930214475,2.432550384,1.165952785,-0.047676859,0.550815477,2.7344161871476205,1.9403169302215444
1981-02-14,4.954525751,4.969796076,4.902574692,4.964968213,6.235764176,6.055677905,4.448337058,4.876784,5.857668,4.621278104,6.16657901,5.039911808,4.629566541,5.155954475,5.840695463009312,4.593930923239202
1981-02-15,8.988396102,8.46576981,8.035694622,8.798043325,9.677860771,8.579076114,7.374224165,7.702212865,8.20952522,8.255582928,8.364168413,8.724825698,6.142751856,6.744211088,8.586677194285302,8.116213599755767
1981-02-16,9.916814868,9.830138045,9.633910459,9.751870725,9.869055145,10.16296637,9.096602464,9.571415279,10.18100081,9.49182206,10.59013159,10.14206727,9.605979225,9.679914894,10.131723463015247,9.429325955217438
1981-02-17,11.26584032,11.39169937,11.4875379,11.36780576,11.04120541,11.43584242,10.81127549,11.49301607,12.57313186,10.92217899,12.3780126,11.43613769,13.08861086,12.94815835,11.432064588504568,10.904641811107807
1981-02-18,13.10294965,13.41341369,13.7491572,13.11200327,12.81122214,12.8120031,12.77915768,13.62998614,14.52687646,12.77853242,15.25010153,13.24810497,13.71939651,14.36134998,12.915981163282746,12.778631292411367
1981-02-19,16.60304901,15.5233625,15.93495709,15.96469123,15.79193409,12.97355462,16.56784507,17.20494023,16.93270128,16.74944628,18.32825076,14.87972968,15.68004329,16.3641488,13.421219264643478,16.720729666847042
1981-02-20,17.93946199,17.06267502,17.00023297,17.60155519,16.85561556,15.8047806,17.64212354,18.5514443,18.04737805,17.60584071,19.65261553,16.59482973,16.36641694,17.47435369,16.00769259976973,17.61157811666818
1981-02-21,19.12572547,18.22740015,17.91815497,18.61537843,19.45911729,18.87809528,18.83740972,19.43399306,18.41655964,18.73382364,20.1755733,18.94065307,18.53555812,18.67949272,18.8293518678939,18.750203714710906
1981-02-22,15.18105154,14.57441494,15.33633204,14.91721302,12.93856364,10.47214566,16.37734928,16.5954018,15.42884639,15.84004997,16.5447912,13.13296686,16.41001467,16.0177816,11.14394317752753,15.925013150766366
1981-02-23,10.77086858,10.78670108,10.92151263,10.67297414,10.00387546,9.51309577,9.74631383,10.22089964,10.98002361,10.19055961,11.4785787,10.49596032,11.03532549,11.12354772,9.74036841909919,10.120310991011758
1981-02-24,14.79741942,14.67491987,14.92962315,14.68289414,14.51557897,13.65058964,14.20966946,15.07391082,15.40849901,14.13968875,16.16031712,14.32276145,13.43686085,13.98824682,13.819263288900183,14.150754804996215
1981-02-25,16.69882403,16.43181299,16.39713156,16.33925638,16.84131149,15.40468446,15.57956362,16.28076174,16.6167083,16.2215216,17.41305897,16.1518109,16.44563624,16.7409722,15.582542172545264,16.120008735784428
1981-02-26,17.38631524,17.27432931,16.55867407,17.32315116,18.80497086,18.3090016,16.38590507,16.11174797,15.83954034,17.16939558,15.61914188,18.17664646,16.81320873,16.52325758,18.203836611664475,17.04550216604817
1981-02-27,19.55285188,18.99516824,18.40040943,19.14623193,19.55726543,18.04302095,19.42158113,19.41793777,17.3797705,19.76341095,19.30793676,19.72163538,17.65625162,18.02657975,18.325531566385123,19.709357374558046
1981-02-28,19.26705279,19.24888576,19.55859811,19.11787086,17.97522758,15.2548337,18.98676732,19.39623964,19.30030678,19.19459894,20.6780884,18.40087877,18.70327745,19.03722409,15.975172352000344,19.161734510118215
1981-03-01,14.2379264,13.25570284,13.61761373,13.71251043,11.98956427,10.33125635,15.40445443,16.22904081,14.86151907,14.71255974,18.30657049,11.96335099,17.44593187,17.33368192,10.778583375461071,14.821969099966902
1981-03-02,10.30681177,10.78558948,10.78115549,10.42197654,10.30900604,11.22984058,10.76630843,10.95733806,11.06004937,10.35257889,12.33488357,10.93274492,10.10285682,10.96258917,11.156021811448106,10.41800197363546
1981-03-03,11.84001714,12.90949423,13.34073857,12.82360471,11.80298917,12.21419852,11.67002679,12.08859329,14.05085135,11.35643724,12.96774088,12.53959506,12.67615458,13.21563169,12.313078810433582,11.40602517939842
1981-03-04,14.20088177,14.12481059,14.60203411,13.84813264,14.07550294,12.3757637,14.49746052,14.85692489,14.69698485,14.15380015,16.10090831,13.63752473,13.8192858,14.23083091,12.677378112917696,14.208143190452716
1981-03-05,14.71920851,14.59732057,15.16255814,14.77152481,13.19289603,10.94792385,15.11900962,15.65879038,15.86466161,14.94310602,17.21846909,13.672512,17.56303777,17.42567667,11.58821004342572,14.9709216696502
1981-03-06,9.849258053,8.977825424,9.003628861,9.168536715,8.853884462,8.44169568,10.81362391,10.8115505,9.339541786,10.46573964,11.10203958,8.973521746,9.924733402,9.73883784,8.55145504006717,10.520750606081057
1981-03-07,10.33257079,11.08388658,11.11466683,10.49451487,10.73976371,10.74650595,9.776240518,10.14513617,11.19676338,10.02264556,11.62491337,11.25206774,10.8884069,10.99866356,10.83596402522948,9.983681511962809
1981-03-08,12.36618846,10.66484287,10.56143493,11.46028571,12.47924642,10.13777439,14.15749948,13.74819974,10.42035695,13.35249264,11.82460863,10.71350659,9.92621386,9.710863824,10.251989196127514,13.479788432851622
1981-03-09,7.970137825,7.636280936,8.477139378,7.730757869,6.465273284,4.627982338,9.375558935,9.554215807,9.877457461,8.799588119,11.24798567,6.498103231,10.29896577,10.72225678,5.1109498321401015,8.890666427952151
1981-03-10,9.020683851,8.378506133,8.879651715,8.248045491,8.266844013,8.310450203,10.18168984,10.55122611,10.13940584,9.797765737,11.87546235,8.170446844,10.32433711,10.45781427,8.299625958895803,9.858475684615145
1981-03-11,11.48631517,11.35567073,11.45552451,11.17567849,12.02796699,11.27940901,11.64708363,12.02824771,12.18185549,11.54694495,13.09092987,11.85092592,11.45506182,11.71432191,11.354180417648655,11.56277988708664
1981-03-12,11.01894056,11.9900725,12.66233905,11.52468287,10.29069964,10.39113943,11.19326955,11.70717767,14.09985281,11.09013248,13.65970026,11.61950679,13.60858503,13.91297467,10.675803093010366,11.106441552725446
1981-03-13,9.691906972,10.97480132,11.65742825,10.22541558,8.742362374,9.338104537,10.06618271,10.73389388,12.64952339,9.59427089,10.74090873,10.46935863,13.87133636,13.65369241,9.614444263769984,9.668894341998188
1981-03-14,12.24690513,12.56680722,12.31227111,12.14698883,12.48073454,12.84153511,11.7743052,12.18238504,12.10829056,11.94013697,11.96999471,13.19843103,12.21625855,12.14254244,12.860383152218278,11.913913979593932
1981-03-15,14.26325481,14.10758914,14.216722,13.66591794,14.37460861,13.5456779,15.07735271,15.09654868,14.83238105,14.52496003,15.00517338,14.53380122,14.9093689,14.90726015,13.712102101947082,14.612309926512722
1981-03-16,14.85524658,14.59494334,14.91650603,14.68494758,14.41599266,13.70479623,15.20358962,15.6679922,15.963897,15.02043837,17.04729295,14.30476711,15.82137036,16.00780435,13.853265375322016,15.049400091096079
1981-03-17,13.47527676,13.1733314,13.21866702,13.26738066,13.17382049,13.40047442,12.6252948,13.21989525,13.44126015,13.04435937,14.34772837,13.41045363,11.42208949,12.06286351,13.382044455159939,12.978092657664767
1981-03-18,15.93839793,15.62549639,15.47581942,15.68267288,16.0114764,14.77244142,15.62700535,16.12997467,15.76293556,15.5206056,16.59990976,15.96087782,14.7739074,15.21525108,14.98791254189416,15.537430600562061
1981-03-19,7.247968259,6.811663178,7.103055601,7.10559772,6.174590634,6.025248068,8.216690551,8.716454553,7.475739622,7.6167596,9.445827232,6.11289363,7.043849776,7.193662414,6.103634696838605,7.711626726922516
1981-03-20,9.79730126,10.16281129,10.12127497,10.10168538,9.895020173,10.17640631,10.21941059,10.53986697,10.21548696,9.746764979,10.63876668,9.95924783,9.115996285,9.51267007,10.14932421704203,9.821504465424841
1981-03-21,14.6382437,14.19379152,14.32846116,14.43131979,14.46535447,13.56461288,14.64283496,14.72212105,14.61415143,14.83209252,14.86255774,14.0260461,13.16025913,13.54876116,13.674011653875157,14.80216520763907
1981-03-22,16.29271666,15.73569942,16.18465588,15.69118114,15.18483606,13.3230078,16.85435711,17.08234758,17.38023285,16.71947482,17.80373713,15.35862218,15.06235509,16.05654097,13.774270959731778,16.740803766779123
1981-03-23,10.84544738,10.15706804,11.00311789,10.53025482,8.378289365,7.386105538,11.63418364,12.20900878,11.84092709,11.28653146,12.22587197,8.449710161,12.65162304,12.89717646,7.752351847384998,11.341505725671698
1981-03-24,11.09662551,10.92093146,11.20588496,10.95269039,10.57588317,10.37630233,10.58787401,10.96584795,12.11756255,10.79031244,11.32938209,10.4847124,10.70262834,11.21773895,10.43628086473259,10.75830083566321
1981-03-25,14.37517836,14.29056923,14.55537073,14.07726911,14.53582534,14.27241212,14.28458872,14.32293436,15.09703262,14.45581915,14.56013897,14.24535458,13.18060628,13.58925937,14.270752465095638,14.428742469077418
1981-03-26,12.65415548,12.35217387,13.18376193,12.76747089,11.90428003,11.05803984,13.5859609,14.17995308,14.83201806,12.78880359,16.25608896,11.4459422,14.60331221,14.83118689,11.21610469592927,12.914858136075557
1981-03-27,17.34315475,16.89813733,17.59513828,17.20671117,16.12616658,15.81930852,18.21443634,18.8466856,18.14662354,17.55464516,19.43770929,16.07731698,16.78584326,17.0474788,15.94327860754144,17.658977989488264
1981-03-28,19.43082476,18.98788221,19.63594935,18.83094283,18.67805299,19.442782,19.75690026,20.05533174,20.59951967,19.77630782,20.99594061,18.60173717,19.59378201,19.93282925,19.303148377059646,19.773238901060733
1981-03-29,17.31507025,16.78062301,17.08268226,16.76122941,16.5895281,14.96469673,17.98674278,17.82311764,17.50946245,17.91813379,18.19761607,16.43297364,17.66857032,17.55759643,15.296726218373827,17.928982934808257
1981-03-30,17.6473212,17.62919902,17.7883871,17.60950672,16.69867079,15.44970766,16.91237322,17.38613987,17.2897282,17.19188439,17.7191565,16.89966517,14.53600847,15.19461525,15.810956180177827,17.147685267423554
1981-03-31,19.45222987,19.62380421,19.37201736,19.4201418,19.64411175,19.42357025,18.77974406,19.6794834,20.09302295,18.99249859,20.84800089,20.2920917,19.5951487,19.93052828,19.544484001039155,18.958855699985396
1981-04-01,17.97753488,17.58894152,17.88944729,17.9186333,16.67526326,15.57008542,17.64239137,18.09703469,18.68278311,17.67491087,18.31540628,16.53965107,16.34856784,17.22073307,15.86014591628639,17.669768558991017
1981-04-02,19.20302264,19.01927235,19.01945028,19.11826341,19.02145864,18.23122809,18.79181156,19.52548155,20.30081569,18.63859967,20.49698124,18.85018344,18.65899619,19.41654309,18.37314254696073,18.662827077821586
1981-04-03,18.96097462,19.57532241,19.83007504,18.99289015,19.32852205,20.24070899,18.97404229,19.52231475,20.22683502,19.02127305,20.22518374,19.93472004,20.77065512,20.70270445,20.14672763061559,19.01380444632803
1981-04-04,19.89246013,20.25348595,20.7125038,20.05365208,18.87709596,16.95800305,20.27463063,20.97231121,22.29174785,19.87012511,22.40195818,19.59102938,23.91633489,23.36413506,17.55679467229345,19.934089598651124
1981-04-05,15.80155323,15.24121501,15.70785159,15.79534008,14.03637687,12.37452619,15.6668266,16.35190693,17.20969632,15.42200196,16.9280399,13.82610566,17.18433934,17.15812409,12.795328045368242,15.460716098948698
1981-04-06,13.42214225,13.28779305,13.49481805,13.60121935,12.60512484,12.19492087,13.44542322,14.14116628,14.83679867,13.09780009,15.37301898,12.48572747,14.45989034,14.62118949,12.324016949982154,13.15276976199299
1981-04-07,16.89447318,16.28345877,16.64731871,16.71758926,15.90722503,15.00315261,17.07675073,17.27342357,17.16452082,17.08866974,18.08341163,15.07862676,16.55436644,16.75167834,15.122749249846626,17.086784986041938
1981-04-08,20.20514035,20.03959828,19.99143396,19.77695869,20.50943982,21.42382495,20.41398368,20.66713141,20.09840606,20.32276226,21.3512856,20.58209598,19.30378908,19.55905294,21.20383483882745,20.337187110084443
1981-04-09,21.96116804,21.86659332,21.30373729,21.30597761,23.29766375,22.34076093,21.76877279,21.7113798,20.82009108,22.14317264,22.5050749,23.25759374,20.76180393,21.06083605,22.409183867968338,22.083968763236317
1981-04-10,23.17747062,23.07331133,22.90109225,22.58598768,23.79765961,23.96579751,23.49330933,23.68608442,22.75672754,23.41755832,23.88833718,23.95631567,22.96220416,23.04410045,23.88757370989256,23.429536832974197
1981-04-11,22.01672,21.87152142,22.28479747,21.71192983,21.07363928,22.09219005,22.17074576,22.66202237,23.23123535,22.12552183,23.65367157,21.55696228,22.72353469,22.87319765,22.009274254172897,22.132673093491398
1981-04-12,22.19953899,22.28918076,22.04830766,22.24084146,22.69039437,23.75426398,21.39148778,21.77615316,22.16362638,21.77728756,22.70542389,22.88307073,22.50357172,22.526593,23.523774322864696,21.716281011438145
1981-04-13,22.67286059,22.64331714,22.33568058,22.35566462,23.259769,24.59235595,22.80483515,23.17898621,22.67315036,22.67781033,23.92082834,23.54762883,22.88550469,22.84539798,24.299359217689627,22.697896774450253
1981-04-14,22.58375925,22.69657088,22.83871544,22.72672679,21.9800703,21.33844795,22.69021974,22.80281328,23.1963876,22.65727326,23.77183177,22.55995371,22.97372221,23.14925089,21.60149192093267,22.66248308938886
1981-04-15,17.69135093,16.94317662,17.58837603,17.12651994,15.52950061,11.77433909,19.63382364,20.3644786,19.86704603,18.52976577,22.35135426,15.88910538,21.14831423,21.20388069,12.711727026186349,18.704350524976398
1981-04-16,17.61362623,17.38413062,18.80192683,17.34956098,14.68710055,10.36623409,18.88848617,19.80130687,20.69002978,18.10223983,22.04659959,15.17170525,20.88670421,20.94609078,11.54574646038177,18.22656902355938
1981-04-17,20.31053857,20.57182966,21.18600553,19.97748287,19.35596026,16.71735619,20.82768112,21.26998739,21.91093397,20.51968124,23.14327717,19.84594778,22.55176607,22.53823689,17.423555840886184,20.568385284456074
1981-04-18,22.23000639,22.34433003,22.80009213,22.19886108,20.81475737,20.13247434,22.63987206,22.98592141,23.39406062,22.26629752,23.65447224,21.78664927,23.67958883,23.62651126,20.52088232489917,22.32537089043059
1981-04-19,22.43373893,21.69062369,21.5858029,22.02840302,21.68624496,19.82769711,22.2256775,22.10252159,21.82043414,22.42977045,21.34520461,20.93378036,22.73294649,22.61931028,20.12057550321457,22.397497216289736
1981-04-20,23.53668646,23.24893116,23.61016129,23.11945795,23.16112535,21.19975505,24.19071205,24.69167296,24.48800828,23.8209871,25.28344011,23.14238125,24.10219078,24.09501991,21.608524078924034,23.879451734471026
1981-04-21,24.4778272,24.40514,24.66627146,24.50498912,23.55066081,20.63832226,23.85797746,24.39754631,24.87452325,23.95958913,25.39634379,23.15372298,23.66826387,24.08794013,21.26379444525798,23.943521268892596
1981-04-22,23.385005,23.31726592,23.76883506,23.44228999,22.1672108,18.03097088,23.00424974,23.42263569,24.33918301,22.84878479,24.46846912,21.82609182,23.83312171,24.23320229,18.9403699465586,22.87336847437079
1981-04-23,19.85288068,19.47810852,19.65996455,19.4454448,19.52521167,19.29852933,20.28290187,20.71585982,20.43819433,20.07883305,20.81190928,19.81517639,21.43229087,21.47907149,19.375679093922823,20.111102468031522
1981-04-24,16.73241019,16.73535593,16.75403635,16.80501763,16.27113433,16.21107266,16.56044999,17.00480908,17.06469152,16.35775571,17.00595036,16.56805762,15.64255492,16.24406313,16.298949575459478,16.38980777191675
1981-04-25,18.45323139,18.77225661,19.07791742,18.50812352,18.03731968,17.51553326,17.84699924,18.30928395,19.83989372,17.85596647,18.91236594,18.51601957,19.7714674,19.6555559,17.743449989605953,17.8545484812379
1981-04-26,20.07086231,20.00230812,19.91284859,19.82898341,19.90130533,19.51216059,19.77943359,19.79009434,19.88267806,20.04520604,19.26707835,20.04465113,19.86987644,19.74404058,19.618027299672523,20.003179422262356
1981-04-27,21.26805429,21.04915226,20.96933683,20.75643691,21.37861551,21.41570362,21.93458943,22.05419403,21.2560947,21.57132756,22.254867,21.70525517,21.09898501,21.33900975,21.41858557199813,21.628770187138937
1981-04-28,22.4612652,22.68345961,22.9270826,22.49273627,22.12417432,22.1024383,22.64099244,23.13651713,23.495142,22.42659765,24.12237572,22.68729767,23.29335078,23.3760603,22.2224024321383,22.46049991445319
1981-04-29,23.4110153,23.19788305,23.32370254,23.35012034,23.24755912,22.94811804,23.27740255,24.1004467,24.17497668,23.19790989,24.78809445,23.38161528,23.70098071,23.70046395,23.0214103634697,23.210480070373354
1981-04-30,25.09903788,24.96952982,25.17031303,24.8091199,24.61490197,23.91645375,25.1935946,25.42060381,25.74539095,25.13212081,26.09324293,24.61662087,25.13180142,25.11577494,24.090950390263938,25.14184166508943
1981-05-01,25.85060044,25.8812672,26.50313996,25.8287995,24.55790031,23.5660469,26.09474595,26.69907198,26.94492173,25.70942717,27.10703482,24.86325689,24.82571039,25.34170931,23.920796319763028,25.770357657995255
1981-05-02,23.18315999,21.93887325,22.08123805,22.62969638,21.25929185,20.15723016,23.97725158,24.1993887,22.75276555,23.5896977,25.01104371,20.87217388,21.71917177,22.43927602,20.396423015012807,23.650981624528292
1981-05-03,20.73764268,21.11250448,21.52610359,20.86958563,20.0528719,20.1865301,19.92423633,20.44040959,21.93398006,20.29129598,21.50870872,20.74726452,20.69263925,21.3728751,20.33341294401159,20.23325280962074
1981-05-04,19.87133629,19.94226091,19.92979716,19.73204683,19.88520013,21.45891896,20.6095913,21.0332397,19.72721692,20.09600932,21.66969583,20.12124739,18.98401352,19.35692276,21.16832180703078,20.177222077569123
1981-05-05,21.53003105,21.31520091,21.36947395,21.13792669,20.99666903,22.06210487,22.13946441,22.171516,21.03887332,21.7852091,22.49967322,21.3336197,20.32592457,20.34943276,21.91067680708168,21.841227519120945
